All-Genes	Genes in same transcription unit	Accession-1	Left-End-Position	Right-End-Position
USA300HOU_RS00915	USA300HOU_RS00925 // USA300HOU_RS00920 // USA300HOU_RS00915 // USA300HOU_RS00910	USA300HOU_RS00915	196976	197950
USA300HOU_RS00920	USA300HOU_RS00925 // USA300HOU_RS00920 // USA300HOU_RS00915 // USA300HOU_RS00910	USA300HOU_RS00920	197947	198708
USA300HOU_RS00925	USA300HOU_RS00925 // USA300HOU_RS00920 // USA300HOU_RS00915 // USA300HOU_RS00910	USA300HOU_RS00925	198721	199753
USA300HOU_RS00930	USA300HOU_RS00930	USA300HOU_RS00930	199970	200329
USA300HOU_RS00935	USA300HOU_RS00935	USA300HOU_RS00935	200502	201527
USA300HOU_RS00940	USA300HOU_RS00940	USA300HOU_RS00940	201913	203163
USA300HOU_RS00945	USA300HOU_RS00950 // USA300HOU_RS00945	USA300HOU_RS00945	203610	210785
USA300HOU_RS00950	USA300HOU_RS00950 // USA300HOU_RS00945	USA300HOU_RS00950	210798	211442
USA300HOU_RS00955	USA300HOU_RS00955	USA300HOU_RS00955	211770	212249
USA300HOU_RS00960	USA300HOU_RS00975 // USA300HOU_RS00970 // USA300HOU_RS00965 // USA300HOU_RS00960	USA300HOU_RS00960	212519	213283
USA300HOU_RS00965	USA300HOU_RS00975 // USA300HOU_RS00970 // USA300HOU_RS00965 // USA300HOU_RS00960	USA300HOU_RS00965	213299	214540
USA300HOU_RS00970	USA300HOU_RS00975 // USA300HOU_RS00970 // USA300HOU_RS00965 // USA300HOU_RS00960	USA300HOU_RS00970	214552	215583
USA300HOU_RS00975	USA300HOU_RS00975 // USA300HOU_RS00970 // USA300HOU_RS00965 // USA300HOU_RS00960	USA300HOU_RS00975	215622	216806
USA300HOU_RS00980	USA300HOU_RS00980	USA300HOU_RS00980	217059	218414
USA300HOU_RS00985	USA300HOU_RS00985	USA300HOU_RS00985	218690	219247
USA300HOU_RS00990	USA300HOU_RS00990	USA300HOU_RS00990	219314	220954
USA300HOU_RS00995	USA300HOU_RS00995	USA300HOU_RS00995	221148	221249
USA300HOU_RS01000	USA300HOU_RS01000	USA300HOU_RS01000	221228	223273
USA300HOU_RS01005	USA300HOU_RS01020 // USA300HOU_RS01015 // USA300HOU_RS01010 // USA300HOU_RS01005	USA300HOU_RS01005	223874	224914
USA300HOU_RS01010	USA300HOU_RS01020 // USA300HOU_RS01015 // USA300HOU_RS01010 // USA300HOU_RS01005	USA300HOU_RS01010	224914	225810
USA300HOU_RS01015	USA300HOU_RS01020 // USA300HOU_RS01015 // USA300HOU_RS01010 // USA300HOU_RS01005	USA300HOU_RS01015	225822	227276
USA300HOU_RS01020	USA300HOU_RS01020 // USA300HOU_RS01015 // USA300HOU_RS01010 // USA300HOU_RS01005	USA300HOU_RS01020	227279	228154
USA300HOU_RS01025	USA300HOU_RS01025	USA300HOU_RS01025	228348	228629
USA300HOU_RS01030	USA300HOU_RS01030	USA300HOU_RS01030	228842	231631
USA300HOU_RS01035	USA300HOU_RS01045 // USA300HOU_RS01040 // USA300HOU_RS01035	USA300HOU_RS01035	231836	232678
USA300HOU_RS01040	USA300HOU_RS01045 // USA300HOU_RS01040 // USA300HOU_RS01035	USA300HOU_RS01040	232680	233603
USA300HOU_RS01045	USA300HOU_RS01045 // USA300HOU_RS01040 // USA300HOU_RS01035	USA300HOU_RS01045	233590	234702
USA300HOU_RS01050	USA300HOU_RS01050	USA300HOU_RS01050	234967	236559
USA300HOU_RS01055	USA300HOU_RS01070 // USA300HOU_RS01065 // USA300HOU_RS01060 // USA300HOU_RS01055	USA300HOU_RS01055	236516	237994
USA300HOU_RS01060	USA300HOU_RS01070 // USA300HOU_RS01065 // USA300HOU_RS01060 // USA300HOU_RS01055	USA300HOU_RS01060	238000	239163
USA300HOU_RS01065	USA300HOU_RS01070 // USA300HOU_RS01065 // USA300HOU_RS01060 // USA300HOU_RS01055	USA300HOU_RS01065	239180	240955
USA300HOU_RS01070	USA300HOU_RS01070 // USA300HOU_RS01065 // USA300HOU_RS01060 // USA300HOU_RS01055	USA300HOU_RS01070	240993	242999
USA300HOU_RS01075	USA300HOU_RS01075	USA300HOU_RS01075	243297	244070
USA300HOU_RS01080	USA300HOU_RS01080	USA300HOU_RS01080	244260	244886
USA300HOU_RS01085	USA300HOU_RS01085	USA300HOU_RS01085	245095	245673
USA300HOU_RS01090	USA300HOU_RS01105 // USA300HOU_RS01100 // USA300HOU_RS01095 // USA300HOU_RS01090	USA300HOU_RS01090	246056	247153
USA300HOU_RS01095	USA300HOU_RS01105 // USA300HOU_RS01100 // USA300HOU_RS01095 // USA300HOU_RS01090	USA300HOU_RS01095	247166	248437
USA300HOU_RS01100	USA300HOU_RS01105 // USA300HOU_RS01100 // USA300HOU_RS01095 // USA300HOU_RS01090	USA300HOU_RS01100	248440	249708
USA300HOU_RS01105	USA300HOU_RS01105 // USA300HOU_RS01100 // USA300HOU_RS01095 // USA300HOU_RS01090	USA300HOU_RS01105	249710	250549
USA300HOU_RS01110	USA300HOU_RS01115 // USA300HOU_RS01110	USA300HOU_RS01110	250623	251699
USA300HOU_RS01115	USA300HOU_RS01115 // USA300HOU_RS01110	USA300HOU_RS01115	251724	252764
USA300HOU_RS01120	USA300HOU_RS01120	USA300HOU_RS01120	252819	253787
USA300HOU_RS01125	USA300HOU_RS01125	USA300HOU_RS01125	254149	254721
USA300HOU_RS01130	USA300HOU_RS01130	USA300HOU_RS01130	254876	256255
USA300HOU_RS01135	USA300HOU_RS01145 // USA300HOU_RS01140 // USA300HOU_RS01135	USA300HOU_RS01135	256614	257372
USA300HOU_RS01140	USA300HOU_RS01145 // USA300HOU_RS01140 // USA300HOU_RS01135	USA300HOU_RS01140	257365	258921
USA300HOU_RS01145	USA300HOU_RS01145 // USA300HOU_RS01140 // USA300HOU_RS01135	USA300HOU_RS01145	258918	259886
USA300HOU_RS01150	USA300HOU_RS01155 // USA300HOU_RS01150	USA300HOU_RS01150	260474	262723
USA300HOU_RS01155	USA300HOU_RS01155 // USA300HOU_RS01150	USA300HOU_RS01155	262746	263501
USA300HOU_RS01160	USA300HOU_RS01165 // USA300HOU_RS01160	USA300HOU_RS01160	263605	263799
USA300HOU_RS01165	USA300HOU_RS01165 // USA300HOU_RS01160	USA300HOU_RS01165	263837	265600
USA300HOU_RS01170	USA300HOU_RS01170	USA300HOU_RS01170	265764	266108
USA300HOU_RS01175	USA300HOU_RS01175	USA300HOU_RS01175	266298	268127
USA300HOU_RS01180	USA300HOU_RS01180	USA300HOU_RS01180	268309	268416
USA300HOU_RS01190	USA300HOU_RS01195 // USA300HOU_RS01190	USA300HOU_RS01190	268730	269914
USA300HOU_RS01195	USA300HOU_RS01195 // USA300HOU_RS01190	USA300HOU_RS01195	269944	272205
USA300HOU_RS01200	USA300HOU_RS01200	USA300HOU_RS01200	272391	273602
USA300HOU_RS01205	USA300HOU_RS01210 // USA300HOU_RS01205	USA300HOU_RS01205	273714	275219
USA300HOU_RS01210	USA300HOU_RS01210 // USA300HOU_RS01205	USA300HOU_RS01210	275245	276822
USA300HOU_RS01215	USA300HOU_RS01215	USA300HOU_RS01215	277263	278405
USA300HOU_RS01220	USA300HOU_RS01220	USA300HOU_RS01220	278719	280131
USA300HOU_RS01225	USA300HOU_RS01225	USA300HOU_RS01225	280392	280748
USA300HOU_RS01230	USA300HOU_RS01235 // USA300HOU_RS01230	USA300HOU_RS01230	280905	281078
USA300HOU_RS01235	USA300HOU_RS01235 // USA300HOU_RS01230	USA300HOU_RS01235	281104	282249
USA300HOU_RS01240	USA300HOU_RS01240	USA300HOU_RS01240	282404	282511
USA300HOU_RS01245	USA300HOU_RS01245	USA300HOU_RS01245	282822	283775
USA300HOU_RS01250	USA300HOU_RS01250	USA300HOU_RS01250	283986	284129
USA300HOU_RS01255	USA300HOU_RS01255	USA300HOU_RS01255	284095	285624
USA300HOU_RS01260	USA300HOU_RS01260	USA300HOU_RS01260	285986	286921
USA300HOU_RS01265	USA300HOU_RS01265	USA300HOU_RS01265	287031	287129
USA300HOU_RS01270	USA300HOU_RS01280 // USA300HOU_RS01275 // USA300HOU_RS01270	USA300HOU_RS01270	287260	289356
USA300HOU_RS01275	USA300HOU_RS01280 // USA300HOU_RS01275 // USA300HOU_RS01270	USA300HOU_RS01275	289341	289808
USA300HOU_RS01280	USA300HOU_RS01280 // USA300HOU_RS01275 // USA300HOU_RS01270	USA300HOU_RS01280	289831	290109
USA300HOU_RS01285	USA300HOU_RS01300 // USA300HOU_RS01295 // USA300HOU_RS01290 // USA300HOU_RS01285	USA300HOU_RS01285	290336	291595
USA300HOU_RS01290	USA300HOU_RS01300 // USA300HOU_RS01295 // USA300HOU_RS01290 // USA300HOU_RS01285	USA300HOU_RS01290	291613	292668
USA300HOU_RS01295	USA300HOU_RS01300 // USA300HOU_RS01295 // USA300HOU_RS01290 // USA300HOU_RS01285	USA300HOU_RS01295	292670	292816
USA300HOU_RS01300	USA300HOU_RS01300 // USA300HOU_RS01295 // USA300HOU_RS01290 // USA300HOU_RS01285	USA300HOU_RS01300	292840	293883
USA300HOU_RS01305	USA300HOU_RS01310 // USA300HOU_RS01305	USA300HOU_RS01305	294411	295127
USA300HOU_RS01310	USA300HOU_RS01310 // USA300HOU_RS01305	USA300HOU_RS01310	295120	296145
USA300HOU_RS01315	USA300HOU_RS01315	USA300HOU_RS01315	296320	297861
USA300HOU_RS01320	USA300HOU_RS01320	USA300HOU_RS01320	298289	299458
USA300HOU_RS01325	USA300HOU_RS01340 // USA300HOU_RS01335 // USA300HOU_RS01330 // USA300HOU_RS01325	USA300HOU_RS01325	299734	300450
USA300HOU_RS01330	USA300HOU_RS01340 // USA300HOU_RS01335 // USA300HOU_RS01330 // USA300HOU_RS01325	USA300HOU_RS01330	300443	301468
USA300HOU_RS01335	USA300HOU_RS01340 // USA300HOU_RS01335 // USA300HOU_RS01330 // USA300HOU_RS01325	USA300HOU_RS01335	301490	303178
USA300HOU_RS01340	USA300HOU_RS01340 // USA300HOU_RS01335 // USA300HOU_RS01330 // USA300HOU_RS01325	USA300HOU_RS01340	303211	304935
USA300HOU_RS01345	USA300HOU_RS01345	USA300HOU_RS01345	305075	305749
USA300HOU_RS01350	USA300HOU_RS01355 // USA300HOU_RS01350	USA300HOU_RS01350	306011	307750
USA300HOU_RS01355	USA300HOU_RS01355 // USA300HOU_RS01350	USA300HOU_RS01355	307753	308493
USA300HOU_RS01360	USA300HOU_RS01365 // USA300HOU_RS01360	USA300HOU_RS01360	308606	309049
USA300HOU_RS01365	USA300HOU_RS01365 // USA300HOU_RS01360	USA300HOU_RS01365	309042	309743
USA300HOU_RS01370	USA300HOU_RS14990 // USA300HOU_RS01370	USA300HOU_RS01370	309851	310555
USA300HOU_RS01375	USA300HOU_RS01380 // USA300HOU_RS01375	USA300HOU_RS01375	310704	311495
USA300HOU_RS01380	USA300HOU_RS01380 // USA300HOU_RS01375	USA300HOU_RS01380	311511	312947
USA300HOU_RS01390	USA300HOU_RS01390	USA300HOU_RS01390	313381	314142
USA300HOU_RS01395	USA300HOU_RS01395	USA300HOU_RS01395	314161	314295
USA300HOU_RS01400	USA300HOU_RS01410 // USA300HOU_RS01405 // USA300HOU_RS01400	USA300HOU_RS01400	314393	315307
USA300HOU_RS01405	USA300HOU_RS01410 // USA300HOU_RS01405 // USA300HOU_RS01400	USA300HOU_RS01405	315335	315739
USA300HOU_RS01410	USA300HOU_RS01410 // USA300HOU_RS01405 // USA300HOU_RS01400	USA300HOU_RS01410	315754	316635
USA300HOU_RS01415	USA300HOU_RS01415	USA300HOU_RS01415	316867	317865
USA300HOU_RS01425	USA300HOU_RS01425	USA300HOU_RS01425	318245	318637
USA300HOU_RS01430	USA300HOU_RS01430	USA300HOU_RS01430	318883	319233
USA300HOU_RS01435	USA300HOU_RS01435	USA300HOU_RS01435	319310	320686
USA300HOU_RS01440	USA300HOU_RS01440	USA300HOU_RS01440	320920	321912
USA300HOU_RS01445	USA300HOU_RS01445	USA300HOU_RS01445	322238	323188
USA300HOU_RS01450	USA300HOU_RS01460 // USA300HOU_RS01455 // USA300HOU_RS01450	USA300HOU_RS01450	323240	323899
USA300HOU_RS01455	USA300HOU_RS01460 // USA300HOU_RS01455 // USA300HOU_RS01450	USA300HOU_RS01455	323913	324833
USA300HOU_RS01460	USA300HOU_RS01460 // USA300HOU_RS01455 // USA300HOU_RS01450	USA300HOU_RS01460	324830	325996
USA300HOU_RS01465	USA300HOU_RS01465	USA300HOU_RS01465	326064	327587
USA300HOU_RS01470	USA300HOU_RS01475 // USA300HOU_RS01470	USA300HOU_RS01470	327858	328511
USA300HOU_RS01475	USA300HOU_RS01475 // USA300HOU_RS01470	USA300HOU_RS01475	328545	329132
USA300HOU_RS01480	USA300HOU_RS01480	USA300HOU_RS01480	329275	330168
USA300HOU_RS01485	USA300HOU_RS01485	USA300HOU_RS01485	330416	330709
USA300HOU_RS01490	USA300HOU_RS01540 // USA300HOU_RS01535 // USA300HOU_RS01530 // USA300HOU_RS01525 // USA300HOU_RS01520 // USA300HOU_RS01515 // USA300HOU_RS01510 // USA300HOU_RS01505 // USA300HOU_RS01500 // USA300HOU_RS01495 // USA300HOU_RS01490	USA300HOU_RS01490	330793	333822
USA300HOU_RS01495	USA300HOU_RS01540 // USA300HOU_RS01535 // USA300HOU_RS01530 // USA300HOU_RS01525 // USA300HOU_RS01520 // USA300HOU_RS01515 // USA300HOU_RS01510 // USA300HOU_RS01505 // USA300HOU_RS01500 // USA300HOU_RS01495 // USA300HOU_RS01490	USA300HOU_RS01495	333822	334280
USA300HOU_RS01500	USA300HOU_RS01540 // USA300HOU_RS01535 // USA300HOU_RS01530 // USA300HOU_RS01525 // USA300HOU_RS01520 // USA300HOU_RS01515 // USA300HOU_RS01510 // USA300HOU_RS01505 // USA300HOU_RS01500 // USA300HOU_RS01495 // USA300HOU_RS01490	USA300HOU_RS01500	334213	334494
USA300HOU_RS01505	USA300HOU_RS01540 // USA300HOU_RS01535 // USA300HOU_RS01530 // USA300HOU_RS01525 // USA300HOU_RS01520 // USA300HOU_RS01515 // USA300HOU_RS01510 // USA300HOU_RS01505 // USA300HOU_RS01500 // USA300HOU_RS01495 // USA300HOU_RS01490	USA300HOU_RS01505	334507	335841
USA300HOU_RS01510	USA300HOU_RS01540 // USA300HOU_RS01535 // USA300HOU_RS01530 // USA300HOU_RS01525 // USA300HOU_RS01520 // USA300HOU_RS01515 // USA300HOU_RS01510 // USA300HOU_RS01505 // USA300HOU_RS01500 // USA300HOU_RS01495 // USA300HOU_RS01490	USA300HOU_RS01510	335863	340302
USA300HOU_RS01515	USA300HOU_RS01540 // USA300HOU_RS01535 // USA300HOU_RS01530 // USA300HOU_RS01525 // USA300HOU_RS01520 // USA300HOU_RS01515 // USA300HOU_RS01510 // USA300HOU_RS01505 // USA300HOU_RS01500 // USA300HOU_RS01495 // USA300HOU_RS01490	USA300HOU_RS01515	340332	340724
USA300HOU_RS01520	USA300HOU_RS01540 // USA300HOU_RS01535 // USA300HOU_RS01530 // USA300HOU_RS01525 // USA300HOU_RS01520 // USA300HOU_RS01515 // USA300HOU_RS01510 // USA300HOU_RS01505 // USA300HOU_RS01500 // USA300HOU_RS01495 // USA300HOU_RS01490	USA300HOU_RS01520	340740	341054
USA300HOU_RS01525	USA300HOU_RS01540 // USA300HOU_RS01535 // USA300HOU_RS01530 // USA300HOU_RS01525 // USA300HOU_RS01520 // USA300HOU_RS01515 // USA300HOU_RS01510 // USA300HOU_RS01505 // USA300HOU_RS01500 // USA300HOU_RS01495 // USA300HOU_RS01490	USA300HOU_RS01525	341054	341728
USA300HOU_RS01530	USA300HOU_RS01540 // USA300HOU_RS01535 // USA300HOU_RS01530 // USA300HOU_RS01525 // USA300HOU_RS01520 // USA300HOU_RS01515 // USA300HOU_RS01510 // USA300HOU_RS01505 // USA300HOU_RS01500 // USA300HOU_RS01495 // USA300HOU_RS01490	USA300HOU_RS01530	341728	342045
USA300HOU_RS01535	USA300HOU_RS01540 // USA300HOU_RS01535 // USA300HOU_RS01530 // USA300HOU_RS01525 // USA300HOU_RS01520 // USA300HOU_RS01515 // USA300HOU_RS01510 // USA300HOU_RS01505 // USA300HOU_RS01500 // USA300HOU_RS01495 // USA300HOU_RS01490	USA300HOU_RS01535	342055	343899
USA300HOU_RS01540	USA300HOU_RS01540 // USA300HOU_RS01535 // USA300HOU_RS01530 // USA300HOU_RS01525 // USA300HOU_RS01520 // USA300HOU_RS01515 // USA300HOU_RS01510 // USA300HOU_RS01505 // USA300HOU_RS01500 // USA300HOU_RS01495 // USA300HOU_RS01490	USA300HOU_RS01540	343910	344401
USA300HOU_RS01545	USA300HOU_RS01545	USA300HOU_RS01545	344609	345292
USA300HOU_RS01550	USA300HOU_RS01550	USA300HOU_RS01550	345439	346050
USA300HOU_RS01555	USA300HOU_RS01555	USA300HOU_RS01555	346186	346404
USA300HOU_RS01560	USA300HOU_RS01575 // USA300HOU_RS01570 // USA300HOU_RS01565 // USA300HOU_RS01560	USA300HOU_RS01560	346536	347036
USA300HOU_RS01565	USA300HOU_RS01575 // USA300HOU_RS01570 // USA300HOU_RS01565 // USA300HOU_RS01560	USA300HOU_RS01565	347047	347547
USA300HOU_RS01570	USA300HOU_RS01575 // USA300HOU_RS01570 // USA300HOU_RS01565 // USA300HOU_RS01560	USA300HOU_RS01570	347558	348053
USA300HOU_RS01575	USA300HOU_RS01575 // USA300HOU_RS01570 // USA300HOU_RS01565 // USA300HOU_RS01560	USA300HOU_RS01575	348064	348555
USA300HOU_RS01580	USA300HOU_RS01580	USA300HOU_RS01580	348765	349448
USA300HOU_RS01585	USA300HOU_RS01605 // USA300HOU_RS01600 // USA300HOU_RS01595 // USA300HOU_RS01590 // USA300HOU_RS01585	USA300HOU_RS01585	350034	350534
USA300HOU_RS01590	USA300HOU_RS01605 // USA300HOU_RS01600 // USA300HOU_RS01595 // USA300HOU_RS01590 // USA300HOU_RS01585	USA300HOU_RS01590	350546	351046
USA300HOU_RS01595	USA300HOU_RS01605 // USA300HOU_RS01600 // USA300HOU_RS01595 // USA300HOU_RS01590 // USA300HOU_RS01585	USA300HOU_RS01595	351057	351557
USA300HOU_RS01600	USA300HOU_RS01605 // USA300HOU_RS01600 // USA300HOU_RS01595 // USA300HOU_RS01590 // USA300HOU_RS01585	USA300HOU_RS01600	351568	352068
USA300HOU_RS01605	USA300HOU_RS01605 // USA300HOU_RS01600 // USA300HOU_RS01595 // USA300HOU_RS01590 // USA300HOU_RS01585	USA300HOU_RS01605	352079	352567
USA300HOU_RS01610	USA300HOU_RS01610	USA300HOU_RS01610	353190	353564
USA300HOU_RS01615	USA300HOU_RS01615	USA300HOU_RS01615	353717	354115
USA300HOU_RS01620	USA300HOU_RS01620	USA300HOU_RS01620	354331	355155
USA300HOU_RS01625	USA300HOU_RS01625	USA300HOU_RS01625	355392	356699
USA300HOU_RS01630	USA300HOU_RS01630	USA300HOU_RS01630	357283	358173
USA300HOU_RS01635	USA300HOU_RS01635	USA300HOU_RS01635	358190	358423
USA300HOU_RS01640	USA300HOU_RS01645 // USA300HOU_RS01640	USA300HOU_RS01640	358422	359471
USA300HOU_RS01645	USA300HOU_RS01645 // USA300HOU_RS01640	USA300HOU_RS01645	359484	360161
USA300HOU_RS01650	USA300HOU_RS01650	USA300HOU_RS01650	360450	361400
USA300HOU_RS01655	USA300HOU_RS01655	USA300HOU_RS01655	361743	362861
USA300HOU_RS01660	USA300HOU_RS01665 // USA300HOU_RS01660	USA300HOU_RS01660	362836	363759
USA300HOU_RS01665	USA300HOU_RS01665 // USA300HOU_RS01660	USA300HOU_RS01665	363770	364990
USA300HOU_RS01670	USA300HOU_RS01675 // USA300HOU_RS01670	USA300HOU_RS01670	365095	366627
USA300HOU_RS01675	USA300HOU_RS01675 // USA300HOU_RS01670	USA300HOU_RS01675	366667	367548
USA300HOU_RS01680	USA300HOU_RS01680	USA300HOU_RS01680	367706	368566
USA300HOU_RS01685	USA300HOU_RS01685	USA300HOU_RS01685	368844	369644
USA300HOU_RS01690	USA300HOU_RS01690	USA300HOU_RS01690	369784	370452
USA300HOU_RS01695	USA300HOU_RS01695	USA300HOU_RS01695	370579	371892
USA300HOU_RS01700	USA300HOU_RS01700	USA300HOU_RS01700	372310	374382
USA300HOU_RS01705	USA300HOU_RS01705	USA300HOU_RS01705	374624	375451
USA300HOU_RS01710	USA300HOU_RS01710	USA300HOU_RS01710	375524	376723
USA300HOU_RS01715	USA300HOU_RS01715	USA300HOU_RS01715	376819	376911
USA300HOU_RS01720	USA300HOU_RS01735 // USA300HOU_RS01730 // USA300HOU_RS01725 // USA300HOU_RS01720	USA300HOU_RS01720	377025	378026
USA300HOU_RS01725	USA300HOU_RS01735 // USA300HOU_RS01730 // USA300HOU_RS01725 // USA300HOU_RS01720	USA300HOU_RS01725	378060	378392
USA300HOU_RS01730	USA300HOU_RS01735 // USA300HOU_RS01730 // USA300HOU_RS01725 // USA300HOU_RS01720	USA300HOU_RS01730	378393	379193
USA300HOU_RS01735	USA300HOU_RS01735 // USA300HOU_RS01730 // USA300HOU_RS01725 // USA300HOU_RS01720	USA300HOU_RS01735	379183	380127
USA300HOU_RS01740	USA300HOU_RS01740	USA300HOU_RS01740	380105	381127
USA300HOU_RS01745	USA300HOU_RS01745	USA300HOU_RS01745	381442	382467
USA300HOU_RS01750	USA300HOU_RS15015 // USA300HOU_RS01765 // USA300HOU_RS01760 // USA300HOU_RS01755 // USA300HOU_RS01750	USA300HOU_RS01750	382560	383906
USA300HOU_RS01755	USA300HOU_RS15015 // USA300HOU_RS01765 // USA300HOU_RS01760 // USA300HOU_RS01755 // USA300HOU_RS01750	USA300HOU_RS01755	383921	384205
USA300HOU_RS01760	USA300HOU_RS15015 // USA300HOU_RS01765 // USA300HOU_RS01760 // USA300HOU_RS01755 // USA300HOU_RS01750	USA300HOU_RS01760	384207	384650
USA300HOU_RS01765	USA300HOU_RS15015 // USA300HOU_RS01765 // USA300HOU_RS01760 // USA300HOU_RS01755 // USA300HOU_RS01750	USA300HOU_RS01765	384655	386610
USA300HOU_RS01770	USA300HOU_RS01770	USA300HOU_RS01770	386822	387241
USA300HOU_RS01775	USA300HOU_RS01775	USA300HOU_RS01775	387348	388703
USA300HOU_RS01780	USA300HOU_RS01780	USA300HOU_RS01780	388807	389247
USA300HOU_RS01785	USA300HOU_RS01785	USA300HOU_RS01785	389330	390688
USA300HOU_RS01790	USA300HOU_RS01800 // USA300HOU_RS01795 // USA300HOU_RS01790	USA300HOU_RS01790	390996	391922
USA300HOU_RS01795	USA300HOU_RS01800 // USA300HOU_RS01795 // USA300HOU_RS01790	USA300HOU_RS01795	391936	392997
USA300HOU_RS01800	USA300HOU_RS01800 // USA300HOU_RS01795 // USA300HOU_RS01790	USA300HOU_RS01800	393011	393577
USA300HOU_RS01805	USA300HOU_RS01805	USA300HOU_RS01805	393637	394632
USA300HOU_RS01810	USA300HOU_RS01810	USA300HOU_RS01810	394742	395026
USA300HOU_RS01815	USA300HOU_RS01815	USA300HOU_RS01815	395106	395651
USA300HOU_RS01820	USA300HOU_RS01830 // USA300HOU_RS01825 // USA300HOU_RS01820	USA300HOU_RS01820	395919	396773
USA300HOU_RS01825	USA300HOU_RS01830 // USA300HOU_RS01825 // USA300HOU_RS01820	USA300HOU_RS01825	396770	397999
USA300HOU_RS01830	USA300HOU_RS01830 // USA300HOU_RS01825 // USA300HOU_RS01820	USA300HOU_RS01830	398010	399692
USA300HOU_RS01835	USA300HOU_RS01840 // USA300HOU_RS01835	USA300HOU_RS01835	399784	400485
USA300HOU_RS01840	USA300HOU_RS01840 // USA300HOU_RS01835	USA300HOU_RS01840	400502	400726
USA300HOU_RS01845	USA300HOU_RS01845	USA300HOU_RS01845	400826	401215
USA300HOU_RS01850	USA300HOU_RS01865 // USA300HOU_RS01860 // USA300HOU_RS01855 // USA300HOU_RS01850	USA300HOU_RS01850	401456	401659
USA300HOU_RS01855	USA300HOU_RS01865 // USA300HOU_RS01860 // USA300HOU_RS01855 // USA300HOU_RS01850	USA300HOU_RS01855	401656	402369
USA300HOU_RS01860	USA300HOU_RS01865 // USA300HOU_RS01860 // USA300HOU_RS01855 // USA300HOU_RS01850	USA300HOU_RS01860	402394	403236
USA300HOU_RS01865	USA300HOU_RS01865 // USA300HOU_RS01860 // USA300HOU_RS01855 // USA300HOU_RS01850	USA300HOU_RS01865	403236	403865
USA300HOU_RS01870	USA300HOU_RS01870	USA300HOU_RS01870	404232	405365
USA300HOU_RS01880	USA300HOU_RS01880	USA300HOU_RS01880	405904	407085
USA300HOU_RS01885	USA300HOU_RS01885	USA300HOU_RS01885	407168	407920
USA300HOU_RS01890	USA300HOU_RS01905 // USA300HOU_RS01900 // USA300HOU_RS01895 // USA300HOU_RS01890	USA300HOU_RS01890	407963	410191
USA300HOU_RS01895	USA300HOU_RS01905 // USA300HOU_RS01900 // USA300HOU_RS01895 // USA300HOU_RS01890	USA300HOU_RS01895	410188	412029
USA300HOU_RS01900	USA300HOU_RS01905 // USA300HOU_RS01900 // USA300HOU_RS01895 // USA300HOU_RS01890	USA300HOU_RS01900	411998	413158
USA300HOU_RS01905	USA300HOU_RS01905 // USA300HOU_RS01900 // USA300HOU_RS01895 // USA300HOU_RS01890	USA300HOU_RS01905	413155	414258
USA300HOU_RS01910	USA300HOU_RS01910	USA300HOU_RS01910	414922	415767
USA300HOU_RS01915	USA300HOU_RS01925 // USA300HOU_RS01920 // USA300HOU_RS01915	USA300HOU_RS01915	415924	416805
USA300HOU_RS01920	USA300HOU_RS01925 // USA300HOU_RS01920 // USA300HOU_RS01915	USA300HOU_RS01920	416835	417038
USA300HOU_RS01925	USA300HOU_RS01925 // USA300HOU_RS01920 // USA300HOU_RS01915	USA300HOU_RS01925	417050	418147
USA300HOU_RS01930	USA300HOU_RS15025 // USA300HOU_RS01930	USA300HOU_RS01930	418233	418424
USA300HOU_RS01935	USA300HOU_RS01940 // USA300HOU_RS01935	USA300HOU_RS01935	418668	418964
USA300HOU_RS01940	USA300HOU_RS01940 // USA300HOU_RS01935	USA300HOU_RS01940	418985	419488
USA300HOU_RS01945	USA300HOU_RS01945	USA300HOU_RS01945	419540	419782
USA300HOU_RS01950	USA300HOU_RS15030 // USA300HOU_RS01950	USA300HOU_RS01950	420048	420986
USA300HOU_RS01960	USA300HOU_RS01960	USA300HOU_RS01960	421414	421572
USA300HOU_RS01965	USA300HOU_RS01965	USA300HOU_RS01965	421932	422543
USA300HOU_RS01970	USA300HOU_RS01970	USA300HOU_RS01970	422912	423280
USA300HOU_RS01975	USA300HOU_RS01975	USA300HOU_RS01975	423461	424033
USA300HOU_RS01980	USA300HOU_RS01980	USA300HOU_RS01980	424171	424434
USA300HOU_RS01985	USA300HOU_RS01985	USA300HOU_RS01985	424734	424985
USA300HOU_RS01990	USA300HOU_RS01990	USA300HOU_RS01990	425024	425233
USA300HOU_RS01995	USA300HOU_RS01995	USA300HOU_RS01995	425411	425992
USA300HOU_RS02000	USA300HOU_RS02000	USA300HOU_RS02000	426058	426441
USA300HOU_RS02005	USA300HOU_RS02005	USA300HOU_RS02005	426696	427322
USA300HOU_RS02010	USA300HOU_RS02010	USA300HOU_RS02010	427395	427688
USA300HOU_RS02015	USA300HOU_RS02020 // USA300HOU_RS02015	USA300HOU_RS02015	427767	429290
USA300HOU_RS02020	USA300HOU_RS02020 // USA300HOU_RS02015	USA300HOU_RS02020	429306	429875
USA300HOU_RS02025	USA300HOU_RS02025	USA300HOU_RS02025	430367	431122
USA300HOU_RS02030	USA300HOU_RS02030	USA300HOU_RS02030	431203	432591
USA300HOU_RS02035	USA300HOU_RS02035	USA300HOU_RS02035	432676	432777
